Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
ZIONSVILLE REALTY PARTNERS,,,,531120,,Real Estate Partnership,Verified,,Analyst,1,2026-01-19 15:13:46,
161 SPRINGMILL PROPERTIES,,kennmar.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:13:46,
3LS PROPERTIES CHATTANOOGA,,realtytrustgroup.com,,531312,,Healthcare Real Estate Mgmt,Verified,,Analyst,1,2026-01-19 15:13:46,
4000 ASSOCIATES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:13:46,
513 PROPERTY MANAGEMENT,,,,531312,,Property Management,Verified,,Analyst,1,2026-01-19 15:13:46,
AJK MANAGEMENT,,,,531312,,Property Management,Verified,,Analyst,1,2026-01-19 15:13:46,
AURORA PROPERTIES,,avisonyoung.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:13:46,
B AND B PROPERTIES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:13:46,
BAEOLOPHUS PARTNERS,,,,531120,,Investment Partnership,Verified,,Analyst,1,2026-01-19 15:13:46,
BATAVIA LOCAL SCHOOL DISTRICT,,bataviaschools.org,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:13:46,
BATTLE GROUND ACADEMY,,battlegroundacademy.org,,611110,,Private School,Verified,,Analyst,1,2026-01-19 15:13:46,
BAY GOV VIKING PARTNERS MANAGEMENT,,vikingpartners.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:13:46,
BEARDEN HILL OFFICE PARTNERS,,,,531120,,Office Property Entity,Verified,,Analyst,1,2026-01-19 15:13:46,
BELLARMINE UNIVERSITY,,bellarmine.edu,,611310,,Private University,Verified,,Analyst,1,2026-01-19 15:13:46,
BEXLEY CITY SCHOOL DISTRICT,,bexleyschools.org,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:13:46,
BLOOMFIELDSCHON AND PARTNERS,,bloomfieldschon.com,,531312,,Commercial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:13:46,
BLUE HOLDINGS,,foundrycommercial.com,,531312,,Commercial Property Mgmt,Verified,,Analyst,1,2026-01-19 15:13:46,
BOGHANI PROPERTIES,,,,531120,,Real Estate Investment,Verified,,Analyst,1,2026-01-19 15:13:46,
BOONE COUNTY SCHOOLS,,boonecountyboe.org,,611110,,Public School District,Verified,,Analyst,1,2026-01-19 15:13:46,
BRAINTREE PROPERTIES,,,,531120,,Property Holding,Verified,,Analyst,1,2026-01-19 15:13:46,
BROADWAY DEVELOPMENT 2001,,,,531120,,Real Estate Development,Verified,,Analyst,1,2026-01-19 15:13:46,
BROOKS MANAGEMENT,,,,531312,,Property Management,Verified,,Analyst,1,2026-01-19 15:13:46,
C BANKS PROPERTY MANAGEMENT,,,,531312,,Property Management,Verified,,Analyst,1,2026-01-19 15:13:46,
CORE5 INDUSTRIAL PARTNERS,,c5ip.com,,531312,,Industrial Real Estate Developer,Verified,,Analyst,1,2026-01-19 15:13:46,
CAMPBELLSVILLE UNIVERSITY,,campbellsville.edu,,611310,,Private University,Verified,,Analyst,1,2026-01-19 15:13:46,
