Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
CARLSTAR GROUP,,carlstar.com,,326211,,Specialty tire and wheel manufacturer,Verified,High,Analyst,1,2026-01-20 15:35:57,
CARLTON INDUSTRIAL SOLUTIONS,,carltonscale.com,,333997,,Industrial weighing and scale solutions,Verified,High,Analyst,1,2026-01-20 15:35:57,
CAROLINA ALE HOUSE,,carolinaalehouse.com,,722511,,Sports bar and restaurant,Verified,High,Analyst,1,2026-01-20 15:35:57,
CAROTHERS CORNER,,,,531120,,Commercial retail center (Property),Verified,High,Analyst,1,2026-01-20 15:35:57,
CARTRIDGE BREWING,,cartridgebrewing.com,,312120,,Brewery and taproom,Verified,High,Analyst,1,2026-01-20 15:35:57,
CASEYS GENERAL STORES,,caseys.com,,445120,,Convenience store and gas station chain,Verified,High,Analyst,1,2026-01-20 15:35:57,
CASHING THE BLUEGRASS,,,,,,,Verified,,Low,1,2026-01-20 15:35:57,
CATHEDRAL OF THE ASSUMPTION,,cathedraloftheassumption.org,,813110,,Catholic cathedral and religious organization,Verified,High,Analyst,1,2026-01-20 15:35:57,
CAZANA FAMILY DCP GENERAL PARTNERSHIP,,,,711219,,Wrestling promotions and real estate holding,Verified,High,Analyst,1,2026-01-20 15:35:57,
CAZZYS CORNER GRILL,,cazzys.com,,722511,,Casual fine dining restaurant,Verified,High,Analyst,1,2026-01-20 15:35:57,
CELLULAR SALES OF IN,,cellularsales.com,,517122,,Verizon authorized wireless retailer,Verified,High,Analyst,1,2026-01-20 15:35:57,
CENTER CITY INTERNATIONAL TRUCK,,internationalusedtruckcenters.com,,441110,,Commercial truck dealership,Verified,High,Analyst,1,2026-01-20 15:35:57,
CENTRAL INSUALTION SERVICES,,centralinsulation.com,,238310,,Insulation contractor,Verified,High,Analyst,1,2026-01-20 15:35:57,
CENTURY MOLD,,centurymold.com,,333511,,Industrial mold manufacturing,Verified,High,Analyst,1,2026-01-20 15:35:57,
CERROWIRE,,cerrowire.com,,331420,,Copper wire and cable manufacturing,Verified,High,Analyst,1,2026-01-20 15:35:57,
CESO,,cesoinc.com,,541330,,Engineering and architecture services,Verified,High,Analyst,1,2026-01-20 15:35:57,
CEVA LOGISTICS,,cevalogistics.com,,488510,,Logistics and supply chain management,Verified,High,Analyst,1,2026-01-20 15:35:57,
CHAMPIONS POINTE GOLF CLUB,,championspointe.com,,713910,,Golf course and country club,Verified,High,Analyst,1,2026-01-20 15:35:57,
CHEF BEN HIBACHI AND CHINESE,,chefbenhibachi.com,,722511,,Hibachi and Chinese restaurant,Verified,High,Analyst,1,2026-01-20 15:35:57,
CHEP SERVICES,,chep.com,,532289,,Pallet and container pooling services,Verified,High,Analyst,1,2026-01-20 15:35:57,
CHILDRENS MUSEUM OF OAK RIDGE,,childrensmuseumofoakridge.org,,712110,,Children's museum,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI 3301 MP WRK7,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI COMMERCIAL CONTRACTING,,cccontracting.com,,236220,,Commercial general contractor,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI LANDMARK PRODUCTIONS,,cincinnatilandmarkproductions.com,,512110,,Theatrical and media production,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI METAL FABRICATING,,cincymetalfab.com,,332312,,Metal fabrication and machining,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI PHYSICIANS,,,,621111,,Medical group (UC Health),Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI RADIATOR,,cincyradiator.com,,336390,,Heat transfer systems design and manufacturing,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI SPORTS MALL,,cincinnatisportsclub.com,,713940,,Athletic and fitness club facility,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI TRUCK PARTS,,tricitytruckparts.com,,423110,,Heavy-duty truck parts distributor,Verified,High,Analyst,1,2026-01-20 15:35:57,
CINCINNATI UNITED CONTRACTORS,,cucinc.com,,236220,,Design-build commercial contractor,Verified,High,Analyst,1,2026-01-20 15:35:57,
