Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
LANDMARK CENTER,,,531120,531120,Commercial property entity,Commercial property entity,Verified,High,Analyst,2,2026-01-22 10:20:11,
MADISON ST APARTMENTS,,,531110,531110,Residential Rental Property,Residential Rental Property,Verified,High,Analyst,2,2026-01-22 10:20:11,
MERIDIAN MANAGEMENT,,,531311,531311,Property Management,Property Management,Verified,High,Analyst,2,2026-01-22 10:20:11,
MIDWEST BUILDERS,,,236220,236220,General Contractor,General Contractor,Verified,High,Analyst,2,2026-01-22 10:20:11,
MILJAVAC ELECTRIC,,,238210,238210,Electrical Contractor,Electrical Contractor,Verified,High,Analyst,2,2026-01-22 10:20:11,
O AND M HOLDINGS,,,531120,531120,Real Estate Holding,Real Estate Holding,Verified,High,Analyst,2,2026-01-22 10:20:11,
RNS PROPERTIES II,,rivernorthproperties.com,531120,531120,Real Estate Holding,Real Estate Holding,Verified,High,Analyst,2,2026-01-22 10:20:11,
ROUSE COMPANIES,,,531312,531312,Nonresidential Property Management,Nonresidential Property Management,Verified,High,Analyst,2,2026-01-22 10:20:11,
SANDWICH SQUAD,,,722513,722513,Limited-Service Restaurant,Limited-Service Restaurant,Verified,High,Analyst,2,2026-01-22 10:20:11,
STRIETER HOLDINGS,,,531120,531120,Commercial property entity,Commercial property entity,Verified,High,Analyst,2,2026-01-22 10:20:11,
SUN PROPERTIES,,sunprop.net,531120,531120,Commercial property entity,Commercial property entity,Verified,High,Analyst,2,2026-01-22 10:20:11,
TAKOMA PROPERTIES,,,531120,531120,Commercial property entity,Commercial property entity,Verified,High,Analyst,2,2026-01-22 10:20:11,
LEASING GROUP,,theleasinggroup.com,531120,531120,Real Estate Leasing,Real Estate Leasing,Verified,High,Analyst,2,2026-01-22 10:20:11,
