Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
CITY OF CYNTHIANA KY,,cynthianaky.com,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
CITY OF LAWRENCE IN,,cityoflawrence.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
CITY OF MONROE OH,,monroeohio.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
CITY OF ST BERNARD OH,,cityofstbernard.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
FIRST TENNESSEE BANK BILLING,,firsthorizon.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:18:23,
GREENE COUNTY OHIO,,greenecountyohio.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
HEALTHCARE REALTY,,healthcarerealty.com,,531120,,Healthcare Real Estate Investment Trust,Verified,,Analyst,1,2026-01-20 11:18:23,
HILLWOOD CONSTRUCTION SERVICES,,hillwood.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
HOLY FAMILY CATHOLIC CHURCH,,holyfamilycc.com,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:18:23,
HONDA OF AMERICA MFG,,honda.com,,336111,,Automobile Manufacturing,Verified,,Analyst,1,2026-01-20 11:18:23,
HUDEPOHL CONSTRUCTION,,hudepohlconstruction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
HUNTINGTON BANK,,huntington.com,,522110,,Commercial Banking,Verified,,Analyst,1,2026-01-20 11:18:23,
IU HEALTH,,iuhealth.org,,622110,,General Hospital,Verified,,Analyst,1,2026-01-20 11:18:23,
JE DUNN CONSTRUCTION,,jedunn.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
JOHNSON COUNTY KY FISCAL COURT,,johnsoncounty.ky.gov,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 11:18:23,
JOHNSON ELECTRIC,,johnsonelectric.com,,335312,,Motor and Generator Mfg,Verified,,Analyst,1,2026-01-20 11:18:23,
KELLEY CONSTRUCTION,,kelleyconstruction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
KENTUCKY STATE POLICE,,kentuckystatepolice.ky.gov,,922120,,Police Protection,Verified,,Analyst,1,2026-01-20 11:18:23,
LEHMAN DAMAN CONSTRUCTION SERVICE,,lehmandaman.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
LESLIES SALON,,,,,,,Deferred,,Analyst,1,2026-01-20 11:18:23,
LIBERTY STATION HEALTH CAMPUS,,trilogyhs.com,,623312,,Assisted Living Facility,Verified,,Analyst,1,2026-01-20 11:18:23,
LILLIBRDIGE HEALTHCARE SERVICES,,,,,,,Deferred,,Analyst,1,2026-01-20 11:18:23,
LILLIBRIDGE HEALTHCARE,,,,,,,Deferred,,Analyst,1,2026-01-20 11:18:23,
LILLIBRIDGE HEALTHCARE SERVICES RIVERSIDE CAMPUS,,,,,,,Deferred,,Analyst,1,2026-01-20 11:18:23,
LIPPS AND SON CONSTRUCTION,,lippsandson.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
LIVING HOPE BAPTIST CHURCH,,lhbg.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:18:23,
LOGAN MEMORIAL HOSPITAL,,medcenterhealth.org,,622110,,General Hospital,Verified,,Analyst,1,2026-01-20 11:18:23,
LUAPA APOSTOLIC CHURCH,,luapaapostolicchurch.com,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:18:23,
LUTHERAN HIGH SCHOOL,,lhsi.org,,611110,,Private School,Verified,,Analyst,1,2026-01-20 11:18:23,
MT LEBANON MISSIONARY BAPTIST CHURCH,,mtlebbapt.com,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 11:18:23,
MAG CONSTRUCTION,,magbuilt.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 11:18:23,
MANUFACTURING SCIENCE,,mfgsci.com,,332999,,Metal Processing,Verified,,Analyst,1,2026-01-20 11:18:23,
MARANATHA HAITIAN SDA CHURCH,,,,,,,Deferred,,Analyst,1,2026-01-20 11:18:23,
MARSHALL HEALTH NETWORK ARENA,,mhnarena.com,,711310,,Event Arena,Verified,,Analyst,1,2026-01-20 11:18:23,
