Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
PRECISION WALLS,,precisionwalls.com,,238310,,Drywall Contractor,Verified,High,Analyst,1,2026-01-21 13:28:11,
PREMIER DESIGN AND BUILD GROUP,,premierdesignbuild.com,,236220,,Design-Build Contractor,Verified,High,Analyst,1,2026-01-21 13:28:11,
PREMIER TRANSPORTATION,,gopremiertn.com,,485510,,Charter Bus Services,Verified,High,Analyst,1,2026-01-21 13:28:11,
PRIDE DELIVERY AND INSTALLATION,,pridedelivery.com,,811412,,Appliance Installation,Verified,High,Analyst,1,2026-01-21 13:28:11,
PRO LIFT,,prolifttoyota.com,,423830,,Forklift Dealership,Verified,High,Analyst,1,2026-01-21 13:28:11,
PROGRESSIVE LOGISTICS,,progressivelogistics.com,,493110,,3PL Warehousing,Verified,High,Analyst,1,2026-01-21 13:28:11,
PROLOGIS LP,,prologis.com,,531120,,Industrial REIT,Verified,High,Analyst,1,2026-01-21 13:28:11,
PROTERIAL CABLE AMERICA,,proterial.com,,335929,,Wire & Cable Mfg,Verified,High,Analyst,1,2026-01-21 13:28:11,
PROVISION CARES PROTON THERAPY CENTER,,provisionproton.com,,621498,,Outpatient Care Center,Verified,High,Analyst,1,2026-01-21 13:28:11,
PSC CENTRAL PARK,,,,,,,Deferred,,Analyst,1,2026-01-21 13:28:11,
PURE CONCEPT SALON AND SPA,,pureconceptsalon.com,,812112,,Beauty Salon,Verified,High,Analyst,1,2026-01-21 13:28:11,
PUREMAXX FILTRATION,,puremaxxfiltration.com,,333413,,Filtration Mfg,Verified,High,Analyst,1,2026-01-21 13:28:11,
QUALITY MECHANICALS,,qualitymechanicals.com,,238220,,Mechanical Contractor,Verified,High,Analyst,1,2026-01-21 13:28:11,
QUANTUM INVESTMENTS AND MGMT,,,,,,,Deferred,,Analyst,1,2026-01-21 13:28:11,
QUEBECOR WORLD,,quad.com,,323111,,Commercial Printing (Successor: Quad),Verified,High,Analyst,1,2026-01-21 13:28:11,
QUEST DIAGNOSTICS LOUISVILLE,,questdiagnostics.com,,621511,,Medical Laboratory,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAINBOW RESTORATION,,rainbowintl.com,,562910,,Restoration Services,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAMSEY PIKE,,,,531390,,Commercial Real Estate,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAVEN COMMERCIAL GROUP,,ravencommercialgroup.com,,531312,,Property Management,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAWLINGS GROUP,,rawlingsgroup.com,,524290,,Insurance Claims Recovery,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAYMOND JAMES,,raymondjames.com,,523150,,Financial Services,Verified,High,Analyst,1,2026-01-21 13:28:11,
RAYPAK,,raypak.com,,333414,,Heating Equipment Mfg,Verified,High,Analyst,1,2026-01-21 13:28:11,
RED BULL DISTRIBUTION CENTER,,redbull.com,,424490,,Beverage Distribution,Verified,High,Analyst,1,2026-01-21 13:28:11,
REECECAMPBELL,,reece-campbell.com,,236220,,General Contractor,Verified,High,Analyst,1,2026-01-21 13:28:11,
REED CONTRACTING GROUP,,reedcogroup.us,,238220,,Mechanical/Plumbing Contractor,Verified,High,Analyst,1,2026-01-21 13:28:11,
REEDS JEWELERS,,reeds.com,,448310,,Jewelry Retail,Verified,High,Analyst,1,2026-01-21 13:28:11,
REFRESCO BEVERAGES US,,refresco.com,,312111,,Beverage Manufacturing,Verified,High,Analyst,1,2026-01-21 13:28:11,
REGAL REXNORD,,regalrexnord.com,,335312,,Industrial Motor Manufacturing,Verified,High,Analyst,1,2026-01-21 13:28:11,
REGENCY WEST VIRGINIA VENTURES LL,,canaanresort.com,,721110,,Resort (Canaan Valley),Verified,High,Analyst,1,2026-01-21 13:28:11,
REGENERATION BOND HILL SCHOOL,,regenerationschools.org,,611110,,Public Charter School,Verified,High,Analyst,1,2026-01-21 13:28:11,
