Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
WALMART,,walmart.com,,452311,,Big Box Retail / Supercenter,Verified,,Analyst,1,2026-01-21 11:25:48,
AZEK,,azekco.com,,321918,,Sustainable Building Products Manufacturing,Verified,,Analyst,1,2026-01-21 11:25:48,
CHOP HOUSE HENDERSONVILLE,,thechophouse.com,,722511,,Steakhouse Restaurant,Verified,,Analyst,1,2026-01-21 11:25:48,
CHOP HOUSE MURFREESBORO,,thechophouse.com,,722511,,Steakhouse Restaurant,Verified,,Analyst,1,2026-01-21 11:25:48,
CW ZUMBIEL,,zumbiel.com,,322212,,Paperboard Packaging Manufacturing,Verified,,Analyst,1,2026-01-21 11:25:48,
HEARING AND SPEECH CENTER,,hsclex.org,,621340,,Hearing and Speech Services,Verified,,Analyst,1,2026-01-21 11:25:48,
LATONIA BULK,,covcor.com,,531120,,Industrial Real Estate Development,Verified,,Analyst,1,2026-01-21 11:25:48,
LAW OFFICE OF C M WATSON,,cmwatsonlaw.com,,541110,,Legal Services,Verified,,Analyst,1,2026-01-21 11:25:48,
LAZARUS PARTNERSHIP NMP,,,,,,,Deferred,,Analyst,1,2026-01-21 11:25:48,
LBMC KNOXVILLE CPA ADVISORS AND CONSULTANTS,,lbmc.com,,541211,,Accounting and Business Consulting,Verified,,Analyst,1,2026-01-21 11:25:48,
LCNB,,lcnb.com,,522110,,Community Bank,Verified,,Analyst,1,2026-01-21 11:25:48,
LEE,,leecompany.com,,238220,,HVAC and Mechanical Services,Verified,,Analyst,1,2026-01-21 11:25:48,
LELLYETT AND ROGERS,,landrco.com,,323111,,Commercial Printing and Signage,Verified,,Analyst,1,2026-01-21 11:25:48,
LEMS SHOES,,lemsshoes.com,,448210,,Minimalist Footwear Brand/Retail,Verified,,Analyst,1,2026-01-21 11:25:48,
LEN RIEGLER BLACKTOP,,rieglerblacktop.com,,237310,,Paving and Asphalt Contracting,Verified,,Analyst,1,2026-01-21 11:25:48,
LENNOX INDUSTRIES,,lennox.com,,333415,,HVAC Manufacturing,Verified,,Analyst,1,2026-01-21 11:25:48,
LES NAILS AND SPA,,le-nailspa.com,,812113,,Nail Salon and Spa,Verified,,Analyst,1,2026-01-21 11:25:48,
LETS PLAY SPORTS,,letsplaysoccer.com,,713940,,Indoor Soccer and Sports Facilities,Verified,,Analyst,1,2026-01-21 11:25:48,
LEVEL UP GAMES AND HOBBIES,,levelupknox.com,,451120,,Hobby and Game Store,Verified,,Analyst,1,2026-01-21 11:25:48,
LEWIS THOMASON,,lewisthomason.com,,541110,,Law Firm,Verified,,Analyst,1,2026-01-21 11:25:48,
