Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
MORGAN FOODS,,morganfoods.com,,311422,,Canned Specialties Mfg,Verified,,Analyst,1,2026-01-20 12:32:29,
NESTLE USA,,nestleusa.com,,311999,,Food Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
NITTO,,nitto.com,,325199,,Chemical Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
NORITAKE USA,,noritake-abrasives.com,,327910,,Abrasive Product Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
OPTIMIRA ENERGY,,optimira.com,,541690,,Energy Consulting,Verified,,Analyst,1,2026-01-20 12:32:29,
PAM SPRAGUEDAVE COLLINS,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
PATRICK SHAAD,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
PCS PURIFIED PHOSPHATES,,nutrien.com,,325312,,Phosphatic Fertilizer Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
PENTAGON GROUP,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
PETRIA LOWENSTINE,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
PG AND A,,pgna.net,,333249,,Industrial Machinery Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
PGNA,,pgna.net,,333249,,Industrial Machinery Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
PHOENIX METALS,,phoenixmetals.net,,331221,,Steel Distribution,Verified,,Analyst,1,2026-01-20 12:32:29,
PVS NOLWOOD CHEMICALS,,pvschemicals.com,,325998,,Chemical Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
REILY FOODS,,reilyfoods.com,,311920,,Coffee and Tea Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
REJAY GROUP,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
RICH PRODUCTS,,richs.com,,311812,,Commercial Bakery,Verified,,Analyst,1,2026-01-20 12:32:29,
RITETRACK,,ritetrack.com,,333242,,Semiconductor Machinery Mfg,Verified,,Analyst,1,2026-01-20 12:32:29,
RITWAY,,ritway.com,,541810,,Marketing Fulfillment,Verified,,Analyst,1,2026-01-20 12:32:29,
RIVERSIDE INDUSTRIAL,,,,531120,,Industrial Property Holding,Verified,,Analyst,1,2026-01-20 12:32:29,
ROBERT SEAGO,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
SCOS,,koellamoore.com,,531312,,Commercial Property Management,Verified,,Analyst,1,2026-01-20 12:32:29,
SINOMAX EAST,,sinomax-usa.com,,337910,,Mattress Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
SKICO,,lexskisnowboard.org,,813410,,Ski and Snowboard Club,Verified,,Analyst,1,2026-01-20 12:32:29,
SMOBEE,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
SNYDERS LANCE,,campbellsoupcompany.com,,311919,,Snack Food Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
SPRINGS WINDOW FASHIONS,,springswindowfashions.com,,337920,,Window Blind Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
SSSB,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
STEP RESOURCES,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
SYENSQO MOUNT PLEASANT,,syensqo.com,,325199,,Specialty Chemical Manufacturing,Verified,,Analyst,1,2026-01-20 12:32:29,
TAMMIE PRICE,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
TERESA TAYLOR,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
THOMAS OVERTON,,,,,,,Deferred,,Analyst,1,2026-01-20 12:32:29,
