Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
BLUEPEPPERMINT BOUTIQUE,,shopbluepeppermint.com,,448120,,Boutique retail,Verified,High,Analyst,1,2026-01-20 15:29:53,
BOB ADAMS RESIDENCE,,,,,,,Verified,,High,1,2026-01-20 15:29:53,
BOGE RUBBER AND PLASTIC,,boge.tech,,326299,,Automotive rubber and plastic components,Verified,High,Analyst,1,2026-01-20 15:29:53,
BOGE RUBBER AND PLASTICS USA,,boge.tech,,326299,,Automotive rubber and plastic components,Verified,High,Analyst,1,2026-01-20 15:29:53,
BORSHOFF,,borshoff.biz,,541810,,Advertising and PR agency,Verified,High,Analyst,1,2026-01-20 15:29:53,
BOURBON II LOGISTICS CENTER,,,,531120,,Industrial logistics center (Property),Verified,High,Analyst,1,2026-01-20 15:29:53,
BRADY WARE AND,,bradyware.com,,541211,,Accounting and consulting firm,Verified,High,Analyst,1,2026-01-20 15:29:53,
BRASCHBARRY,,braschbarry.com,,424130,,Packaging and industrial supplies distributor,Verified,Medium,Analyst,1,2026-01-20 15:29:53,
BREAKOUT GAMES,,breakoutgames.com,,713990,,Escape room entertainment,Verified,High,Analyst,1,2026-01-20 15:29:53,
BRIDGE AT HICKORY WOODS,,bridgeathickorywoods.com,,531110,,Multifamily residential community,Verified,High,Analyst,1,2026-01-20 15:29:53,
BRINKMANN CONSTRUCTORS,,brinkmannconstructors.com,,236220,,General contractor,Verified,High,Analyst,1,2026-01-20 15:29:53,
BROOKSTONE COMPANIES,,brookstonecompanies.com,,531311,,Property management and real estate,Verified,High,Analyst,1,2026-01-20 15:29:53,
BROWN FORMAN DBA JACK DANIEL DISTILERY,,brown-forman.com,,312140,,Beverage alcohol manufacturing,Verified,High,Analyst,1,2026-01-20 15:29:53,
BROWNING INVESTMENTS,,browninginv.com,,531390,,Commercial real estate development and investment,Verified,High,Analyst,1,2026-01-20 15:29:53,
BROWNSBURG COMMUNITY SCHOOL,,brownsburg.k12.in.us,,611110,,Public school district,Verified,High,Analyst,1,2026-01-20 15:29:53,
BRYAN EQUIPMENT SALES,,bryanequipment.com,,423810,,Outdoor power equipment distributor,Verified,High,Analyst,1,2026-01-20 15:29:53,
BSN SPORTS,,bsnsports.com,,423910,,Sports equipment and apparel distributor,Verified,High,Analyst,1,2026-01-20 15:29:53,
BUILDING 3800 REDBANK ROAD,,,,531120,,Commercial property entity,Verified,High,Analyst,1,2026-01-20 15:29:53,
BULLITT II LOGISTICS CENTER,,,,531120,,Industrial logistics center (Property),Verified,High,Analyst,1,2026-01-20 15:29:53,
C5 GATEWAY 3,,,,531120,,Industrial logistics center (Property),Verified,High,Analyst,1,2026-01-20 15:29:53,
CAC,,,,,,,Verified,,Low,1,2026-01-20 15:29:53,
CAC DISTRIBUTION,,,,,,,Verified,,Medium,1,2026-01-20 15:29:53,
CADENCE MCSHANE,,cadencemcshane.com,,236220,,Commercial construction and design-build,Verified,High,Analyst,1,2026-01-20 15:29:53,
CALIFORNIA CLOSETS,,californiaclosets.com,,236118,,Custom closet design and installation,Verified,High,Analyst,1,2026-01-20 15:29:53,
CALUMET LUBRICANTS,,calumetspecialty.com,,324191,,Specialty hydrocarbon and lubricants producer,Verified,High,Analyst,1,2026-01-20 15:29:53,
CANNON AUTOMOTIVE SOLUTIONS,,,,336370,,Automotive metal stamping and assembly,Verified,High,Analyst,1,2026-01-20 15:29:53,
CAPTAINS WATCH COA,,,,813990,,Condominium owners association,Verified,High,Analyst,1,2026-01-20 15:29:53,
CAREGIVERS,,,,,,,Verified,,Low,1,2026-01-20 15:29:53,
CARHARTT,,carhartt.com,,448140,,Workwear apparel brand and retail,Verified,High,Analyst,1,2026-01-20 15:29:53,
CARL ZEISS VISION,,zeiss.com,,339115,,Optical systems and optoelectronics,Verified,High,Analyst,1,2026-01-20 15:29:53,
