Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
10% CABINETRY,,10percentcabinetry.com,,238350,,Finish Carpentry Contractors,Verified,,Analyst,1,2026-01-20 14:29:45,
2NDS IN BUILDING MATERIAL,,southeasternsalvage.com,,444190,,Other Building Material Dealers,Verified,,Analyst,1,2026-01-20 14:29:45,
3001 HIGHLAND PARTNERSHIP,,psychotherapycincinnati.com,,531120,,Lessors of Nonresidential Buildings,Verified,,Analyst,1,2026-01-20 14:29:45,
3665 MALLORY JV,,,,,,,Deferred,,Analyst,1,2026-01-20 14:29:45,
3D TECHNICAL SERVICES,,3-dtechnicalservices.com,,541330,,Engineering Services,Verified,,Analyst,1,2026-01-20 14:29:45,
4J REDEVELOPMENT,,coreredevelopment.com,,531110,,Lessors of Residential Buildings,Verified,,Analyst,1,2026-01-20 14:29:45,
A CHILDS HOPE INTL,,achildshopeintl.org,,624110,,Child and Youth Services,Verified,,Analyst,1,2026-01-20 14:29:45,
A T REDEVELOPMENT,,coreredevelopment.com,,531110,,Lessors of Residential Buildings,Verified,,Analyst,1,2026-01-20 14:29:45,
ABC AUTOMOTIVE SYSTEMS,,abctechnologies.com,,336390,,Other Motor Vehicle Parts Manufacturing,Verified,,Analyst,1,2026-01-20 14:29:45,
ABLOOM FLORIST,,abloomflorist.net,,453110,,Florists,Verified,,Analyst,1,2026-01-20 14:29:45,
ABSOLUTE MACHINE TOOLS,,absolutemachine.com,,423830,,Industrial Machinery and Equipment Merchant Wholesalers,Verified,,Analyst,1,2026-01-20 14:29:45,
ACCELLA TIRE FILL SYSTEMS,,carlisletyrfil.com,,326299,,All Other Rubber Product Manufacturing,Verified,,Analyst,1,2026-01-20 14:29:45,
ACCURATE MECHANICAL SOLUTIONS,,,,,,,Deferred,,Analyst,1,2026-01-20 14:29:45,
ACTIVATE GAMES,,playactivate.com,,713120,,Amusement Arcades,Verified,,Analyst,1,2026-01-20 14:29:45,
ADVANCED AGRILYTICS,,advancedagrilytics.com,,541990,,"All Other Professional, Scientific, and Technical Services",Verified,,Analyst,1,2026-01-20 14:29:45,
ADVANCED LABLEWORX,,advancedlabelworx.com,,323111,,Commercial Printing (except Screen and Books),Verified,,Analyst,1,2026-01-20 14:29:45,
ADVANTAGE ENGINEERING,,advantageengineering.com,,333249,,Other Industrial Machinery Manufacturing,Verified,,Analyst,1,2026-01-20 14:29:45,
AEGIS PROTECTIVE SERVICES,,aegis-ps.com,,561612,,Security Guards and Patrol Services,Verified,,Analyst,1,2026-01-20 14:29:45,
AEROSPACE LUBRICANTS,,aerospacelubricants.com,,324191,,Petroleum Lubricating Oil and Grease Manufacturing,Verified,,Analyst,1,2026-01-20 14:29:45,
AFC URGENT CARE,,afcurgentcare.com,,621493,,Freestanding Ambulatory Surgical and Emergency Centers,Verified,,Analyst,1,2026-01-20 14:29:45,
