Master Customer Name Canonical,Old Website,New Website,Old NAICS,New NAICS,Old Industry Detail,New Industry Detail,Enrichment Status,Enrichment Confidence,Enrichment Source,Attempt Count,Last Attempted At,Attempt Outcome
CORKEN STEEL,,corkensteel.com,,423730,,HVAC Equipment Wholesaler,Verified,,Analyst,1,2026-01-20 10:28:45,
COURTYARD BY MARRIOTT CINCINNATI MIDTOWNROOKWOOD,,marriott.com,,721110,,Hotel,Verified,,Analyst,1,2026-01-20 10:28:45,
CROWNE PLAZA UNION STATION,,ihg.com,,721110,,Hotel,Verified,,Analyst,1,2026-01-20 10:28:45,
DAVITA HEALTH CARE WEST VIRGINIA,,davita.com,,621492,,Dialysis Center,Verified,,Analyst,1,2026-01-20 10:28:45,
DECOACH RECOVERY CENTRE,,,,,,,Deferred,,Analyst,1,2026-01-20 10:28:45,
DELTA NATURAL GAS,,deltagas.com,,221210,,Natural Gas Distribution,Verified,,Analyst,1,2026-01-20 10:28:45,
DENIER ELECTRIC,,denier.com,,238210,,Electrical Contractor,Verified,,Analyst,1,2026-01-20 10:28:45,
DENSO MANUFACTURING,,denso.com,,336320,,Motor Vehicle Electrical Mfg,Verified,,Analyst,1,2026-01-20 10:28:45,
DENTAL CARE PLUS,,dentalcareplus.com,,524114,,Dental Insurance Provider,Verified,,Analyst,1,2026-01-20 10:28:45,
DESIGN BUILD SOLUTIONS,,,,,,,Deferred,,Analyst,1,2026-01-20 10:28:45,
DIAMOND ELECTRIC MANUFACTURING,,diamond-us.com,,335311,,Power Transformer Mfg,Verified,,Analyst,1,2026-01-20 10:28:45,
DIOCESE OF COVINGTON,,covdio.org,,813110,,Religious Organization,Verified,,Analyst,1,2026-01-20 10:28:45,
DIVERSIFIED CONSTRUCTION GROUP,,diversified-construction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 10:28:45,
DO NOT USE 45NINETY CONSTRUCTION,,,,,,,Deferred,,Analyst,1,2026-01-20 10:28:45,
DRK CONSTRUCTION SERVICES,,drkconst.com,,236220,,Construction Management,Verified,,Analyst,1,2026-01-20 10:28:45,
DRY CREEK WASTE WATER TREATMENT,,sd1.org,,221320,,Sewage Treatment Facility,Verified,,Analyst,1,2026-01-20 10:28:45,
DUKE CONSTRUCTION LP,,prologis.com,,236220,,Industrial Construction,Verified,,Analyst,1,2026-01-20 10:28:45,
E AND E MANUFACTURING OF TN,,eemfg.com,,336370,,Motor Vehicle Stamping,Verified,,Analyst,1,2026-01-20 10:28:45,
EAGLE BEND MANUFACTURING,,magna.com,,336370,,Motor Vehicle Body Mfg,Verified,,Analyst,1,2026-01-20 10:28:45,
ECHO ELECTRIC,,echoelectric.com,,423610,,Electrical Apparatus Wholesaler,Verified,,Analyst,1,2026-01-20 10:28:45,
ECHO POWER,,echopower.com,,221112,,Fossil Fuel Power Generation,Verified,,Analyst,1,2026-01-20 10:28:45,
ELECTRIC POWER RESEARCH INSTITUTE,,epri.com,,541715,,R&D in Physical Sciences,Verified,,Analyst,1,2026-01-20 10:28:45,
ENABLE MEDICAL,,,,,,,Deferred,,Analyst,1,2026-01-20 10:28:45,
ENCOMPASS HEALTH,,encompasshealth.com,,622310,,Rehabilitation Hospital,Verified,,Analyst,1,2026-01-20 10:28:45,
ENRICHMENT FEDERAL CREDIT UNION,,enrichmentfcu.org,,522130,,Credit Union,Verified,,Analyst,1,2026-01-20 10:28:45,
EPISCOPAL SCHOOL OF NASHVILLE,,esnashville.org,,611110,,Private School,Verified,,Analyst,1,2026-01-20 10:28:45,
EZELL HARDING CHRISTIAN SCHOOL,,ezellharding.com,,611110,,Private School,Verified,,Analyst,1,2026-01-20 10:28:45,
FAGERDALA PACKAGING,,sealedair.com,,326199,,Plastics Product Mfg,Verified,,Analyst,1,2026-01-20 10:28:45,
FAIRFIELD TOWNSHIP OH,,fairfieldtwp.org,,921110,,Local Government,Verified,,Analyst,1,2026-01-20 10:28:45,
FARRAGUT MEDICAL,,,,,,,Deferred,,Analyst,1,2026-01-20 10:28:45,
FCL BUILDERS,,fclbuilders.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 10:28:45,
FERGUSON CONSTRUCTION,,ferguson-construction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 10:28:45,
FERGUSON CONSTRUCTION GROUP,,ferguson-construction.com,,236220,,Commercial Construction,Verified,,Analyst,1,2026-01-20 10:28:45,
